index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
963,haier,0,0,9.769441742,4.3,32,led,1,16,0.009096627,4,0,1,0,0,0,0,1,0,0,0,2,big
964,uniboom,0,0,9.121509158,4.45,32,led,0,16,0.014955515,3,0,0,1,0,0,0,2,0,0,0,2,medium
965,uniboom,0,0,9.121509158,4,32,led,1,16,0.014955515,4,0,0,1,0,0,0,2,0,0,0,2,medium
966,vu,1,0,11.37355994,4.45,75,qled,1,16,0.003887803,4,1,0,0,1,1,2,1,2,4,1,2,big
967,foxsky,0,0,9.121509158,4.6,32,led,1,16,0.014955515,4,0,0,1,0,0,0,2,0,0,0,2,medium
968,reliance,0,1,9.769441742,4.55,43,led,1,19.2,0.009105203,4,0,0,1,1,0,1,1,0,0,0,2,medium
969,toshiba,1,0,12.34579741,4.5,77,qled,1,16,0.001542252,4,0,0,1,1,1,2,3,1,4,0,1,big
970,lg,1,0,11.51283546,4,55,oled,1,28.8,0.002960296,4,0,0,1,3,1,2,1,1,4,1,2,big
971,hyundai,1,0,10.32229657,4,50,led,1,16,0.005789093,4,0,0,1,4,1,2,1,1,1,1,2,small
972,toshiba,1,0,11.69524702,4.2,77,led,1,16,0.00245002,4,0,0,1,1,1,2,3,1,4,0,1,big
973,onida,1,0,10.20370325,4.35,43,qled,1,16,0.008538256,4,0,0,1,4,1,2,1,1,2,0,2,medium
974,blackdecker,1,0,10.46310334,4.2,55,led,1,16,0.006600189,4,1,0,0,3,1,2,2,1,2,1,2,small
975,blackdecker,1,0,10.1266311,4.25,43,led,1,16,0.008840354,4,1,0,0,4,1,2,2,1,2,0,2,small
976,reliance,0,1,9.903037451,4.1,43,led,1,19.2,0.008614307,4,0,0,1,1,0,1,1,2,1,0,2,medium
977,reliance,0,0,9.526318314,4.1,32,qled,1,16,0.010761939,4,0,0,1,0,0,0,1,2,0,0,2,medium
978,reliance,0,0,9.503830545,4.45,32,led,1,16,0.011946309,4,0,0,1,0,0,0,1,2,0,0,2,medium
979,innoq,0,1,9.546169545,4.05,43,led,1,19.2,0.009842745,4,0,0,1,1,0,1,2,1,0,0,2,small
980,innoq,0,0,9.121509158,4.55,32,led,0,16,0.014955515,3,0,0,1,0,0,0,2,0,0,0,2,small
